0,Project,Sector,MW,Zero Date,State,Scope,Region,Customer,BOILER ERECTION START_Schedule,BOILER ERECTION START_Schedule_Exp/Actual,DRUM LIFTING_Schedule,DRUM LIFTING_Schedule_Exp/Actual,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule_Exp/Actual,HYDRAULIC TEST_Schedule,HYDRAULIC TEST_Schedule_Exp/Actual,BOILER LIGHT UP_Schedule,BOILER LIGHT UP_Schedule_Exp/Actual,ALKALI BOIL OUT COMPLETION_Schedule,ALKALI BOIL OUT COMPLETION_Schedule_Exp/Actual,EDTA START_Schedule,EDTA START_Schedule_Exp/Actual,EDTA COMPLETION_Schedule,EDTA COMPLETION_Schedule_Exp/Actual,STEAM BLOWING START_Schedule,STEAM BLOWING START_Schedule_Exp/Actual,STEAM BLOWING COMPLETION_Schedule,STEAM BLOWING COMPLETION_Schedule_Exp/Actual,NORMALIZATION_Schedule,NORMALIZATION_Schedule_Exp/Actual,CONDENSER ERECTION START_Schedule,CONDENSER ERECTION START_Schedule_Exp/Actual,TURBINE ERECTION START_Schedule,TURBINE ERECTION START_Schedule_Exp/Actual,TG BOX UP_Schedule,TG BOX UP_Schedule_Exp/Actual,OIL FLUSHING START_Schedule,OIL FLUSHING START_Schedule_Exp/Actual,OIL FLUSHING COMPLETION_Schedule,OIL FLUSHING COMPLETION_Schedule_Exp/Actual,BARRING GEAR_Schedule,BARRING GEAR_Schedule_Exp/Actual,ROLLING_Schedule,ROLLING_Schedule_Exp/Actual,SYNCHRONISATION_Schedule,SYNCHRONISATION_Schedule_Exp/Actual,FULL LOAD_Schedule,FULL LOAD_Schedule_Exp/Actual,CAPACITY ADDITION_Schedule,CAPACITY ADDITION_Schedule_Exp/Actual,COMMERCIAL OPERATION DECLARATION_Schedule,COMMERCIAL OPERATION DECLARATION_Schedule_Exp/Actual,TRIAL OPERATION COMPLETION_Schedule,TRIAL OPERATION COMPLETION_Schedule_Exp/Actual,HAND OVER_Schedule,HAND OVER_Schedule_Exp/Actual
11,BAKRESWAR - MP UNIT-4 (2 X 210 MW),STATE,210,30-11-04,WEST BENGAL,BTG,PSER,WBPDCL,30-06-05,24-05-05,30-10-05,23-03-06,N.A.,N.A.,30-09-06,13-12-06,31-12-06,01-06-07,08-01-07,08-07-07,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-01-07,06-12-07,N.A.,N.A.,30-06-05,24-05-05,N.A.,N.A.,15-12-06,30-10-06,N.A.,N.A.,30-12-06,12-10-07,15-01-07,07-12-07,N.A.,N.A.,30-03-07,23-12-07,N.A.,N.A.,N.A.,N.A.,29-07-07,31-10-08,29-07-07,31-10-08,29-07-07,31-10-08
12,RAYALASEEMA UNIT-4 (210 MW ) ,,210,31-03-04,ANDHRA PRADESH,BTG,PSSR,APGENCO,31-05-05,18-02-05,30-09-05,10-09-05,N.A.,N.A.,31-05-06,17-08-06,30-09-06,17-07-07,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-11-06,18-09-07,N.A.,N.A.,30-11-05,10-05-06,N.A.,N.A.,31-08-06,10-07-07,N.A.,N.A.,30-09-06,04-09-07,30-10-06,08-11-07,N.A.,N.A.,31-12-06,20-11-07,N.A.,N.A.,N.A.,N.A.,30-03-07,10-03-08,30-03-07,10-03-08,N.A.,N.A.
13,BELLARY TPS UNIT-1 (1X500 MW),STATE,500,29-12-03,,,PSSR,KPCL,28-11-04,16-09-04,28-04-05,27-02-05,N.A.,N.A.,28-03-06,11-05-06,28-09-06,03-01-07,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-02-07,22-10-07,N.A.,N.A.,28-07-05,17-11-05,N.A.,N.A.,28-06-06,21-11-06,N.A.,N.A.,28-09-06,30-08-07,28-11-06,28-11-07,N.A.,N.A.,28-12-06,03-12-07,N.A.,N.A.,N.A.,N.A.,28-03-07,30-03-09,28-03-07,30-03-09,N.A.,N.A.
14,LEHRA MOHABBAT UNIT-3(250 MW),,250,31-03-04,PUNJAB,EPC,PSNR,PSEB,14-03-05,15-04-05,12-07-05,24-08-05,N.A.,N.A.,15-05-06,30-08-06,19-08-06,31-03-07,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,20-10-06,16-12-07,N.A.,N.A.,23-08-05,30-03-06,N.A.,N.A.,28-07-06,25-01-07,N.A.,N.A.,27-08-06,25-08-07,25-09-06,08-12-07,N.A.,N.A.,25-10-06,03-01-08,N.A.,N.A.,N.A.,N.A.,30-12-06,16-10-08,30-12-06,16-10-08,N.A.,N.A.
15,KAHALGAON UNIT-6 (500),,600,31-07-03,BIHAR,BTG,PSER,NTPC,30-10-04,22-01-05,31-03-05,03-07-05,N.A.,N.A.,02-03-06,31-07-06,31-08-06,31-05-07,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,31-10-06,05-01-08,N.A.,N.A.,31-07-05,15-05-06,N.A.,N.A.,31-08-06,30-04-07,N.A.,N.A.,30-09-06,19-06-07,31-10-06,08-01-08,N.A.,N.A.,31-12-06,16-03-08,N.A.,N.A.,N.A.,N.A.,18-04-07,30-12-08,18-04-07,30-12-08,N.A.,N.A.
16,RAIGARH UNIT-3 (4X250MW) ,PRIVATE,250,01-11-04,CHHATTISGARH,BTG,PSWR,"JINDAL POWER LIMITED , NEW DELHI",31-10-05,17-11-05,01-04-06,30-04-06,N.A.,N.A.,13-12-06,25-05-07,03-05-07,15-12-07,13-05-07,24-12-07,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,12-06-07,03-01-08,N.A.,N.A.,31-10-05,14-05-06,N.A.,N.A.,15-04-07,15-04-07,N.A.,N.A.,24-05-07,24-05-07,24-06-07,24-06-07,N.A.,N.A.,14-07-07,10-02-08,N.A.,N.A.,N.A.,N.A.,15-10-07,16-04-08,15-10-07,25-05-08,N.A.,N.A.
17,RAIGARH UNIT-2 (4X250MW) ,PRIVATE,250,15-10-04,CHHATTISGARH,BTG,PSWR,"JINDAL POWER LIMITED , NEW DELHI",16-10-05,28-10-05,17-03-06,20-03-06,N.A.,N.A.,28-11-06,17-06-07,18-04-07,28-01-08,28-04-07,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,28-05-07,20-02-08,N.A.,N.A.,16-10-05,11-07-06,N.A.,N.A.,31-03-07,07-12-07,N.A.,N.A.,09-05-07,11-01-08,09-06-07,28-01-08,N.A.,N.A.,29-06-07,06-03-08,N.A.,N.A.,N.A.,N.A.,29-09-07,15-06-08,29-09-07,15-07-08,N.A.,N.A.
18,BHILAI TPS-1(250 MW),,250,31-03-05,CHATTISGARH,EPC,PSWR,NSPCL,30-11-05,15-02-06,30-04-06,30-06-06,N.A.,N.A.,15-12-06,30-04-07,16-04-07,30-12-07,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-06-07,09-03-08,N.A.,N.A.,30-06-06,16-01-07,N.A.,N.A.,31-03-07,07-03-08,N.A.,N.A.,31-05-07,16-03-08,25-06-07,10-04-08,N.A.,N.A.,15-07-07,20-04-08,N.A.,N.A.,N.A.,N.A.,15-10-07,30-03-09,15-10-07,15-03-09,N.A.,N.A.
19,RAIGARH UNIT-4 (4X250MW) ,PRIVATE,250,01-11-04,CHHATTISGARH,BTG,PSWR,"JINDAL POWER LIMITED , NEW DELHI",31-01-06,15-01-06,01-07-06,10-08-06,N.A.,N.A.,13-03-07,15-10-07,03-08-07,01-05-08,13-08-07,13-08-07,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,12-09-07,28-05-08,N.A.,N.A.,31-01-06,17-08-06,N.A.,N.A.,15-07-07,24-01-08,N.A.,N.A.,24-08-07,28-03-08,24-09-07,30-03-08,N.A.,N.A.,14-10-07,17-06-08,N.A.,N.A.,N.A.,N.A.,15-01-08,03-09-08,15-01-08,30-12-08,N.A.,N.A.
20,AMARKANTAK TPS EXT. UNIT-5 (1X 210 MW) ,STATE,210,30-09-04,MADHYA PRADESH,EPC,PSSR,MPPGCL,30-06-05,28-10-05,31-10-05,30-03-06,N.A.,N.A.,30-07-06,03-03-07,30-12-06,17-10-07,30-12-06,24-01-08,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-01-07,16-05-08,N.A.,N.A.,30-06-05,28-10-05,N.A.,N.A.,30-12-06,30-01-08,N.A.,N.A.,30-01-07,01-05-08,13-02-07,06-06-08,N.A.,N.A.,28-02-07,15-06-08,N.A.,N.A.,N.A.,N.A.,30-06-07,09-09-09,30-06-07,09-10-09,N.A.,N.A.
