0,Project,Sector,MW,Zero Date,State,Scope,Region,Customer,BOILER ERECTION START_Schedule,BOILER ERECTION START_Schedule_Exp/Actual,DRUM LIFTING_Schedule,DRUM LIFTING_Schedule_Exp/Actual,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule_Exp/Actual,HYDRAULIC TEST_Schedule,HYDRAULIC TEST_Schedule_Exp/Actual,BOILER LIGHT UP_Schedule,BOILER LIGHT UP_Schedule_Exp/Actual,ALKALI BOIL OUT COMPLETION_Schedule,ALKALI BOIL OUT COMPLETION_Schedule_Exp/Actual,EDTA START_Schedule,EDTA START_Schedule_Exp/Actual,EDTA COMPLETION_Schedule,EDTA COMPLETION_Schedule_Exp/Actual,STEAM BLOWING START_Schedule,STEAM BLOWING START_Schedule_Exp/Actual,STEAM BLOWING COMPLETION_Schedule,STEAM BLOWING COMPLETION_Schedule_Exp/Actual,NORMALIZATION_Schedule,NORMALIZATION_Schedule_Exp/Actual,CONDENSER ERECTION START_Schedule,CONDENSER ERECTION START_Schedule_Exp/Actual,TURBINE ERECTION START_Schedule,TURBINE ERECTION START_Schedule_Exp/Actual,TG BOX UP_Schedule,TG BOX UP_Schedule_Exp/Actual,OIL FLUSHING START_Schedule,OIL FLUSHING START_Schedule_Exp/Actual,OIL FLUSHING COMPLETION_Schedule,OIL FLUSHING COMPLETION_Schedule_Exp/Actual,BARRING GEAR_Schedule,BARRING GEAR_Schedule_Exp/Actual,ROLLING_Schedule,ROLLING_Schedule_Exp/Actual,SYNCHRONISATION_Schedule,SYNCHRONISATION_Schedule_Exp/Actual,FULL LOAD_Schedule,FULL LOAD_Schedule_Exp/Actual,CAPACITY ADDITION_Schedule,CAPACITY ADDITION_Schedule_Exp/Actual,COMMERCIAL OPERATION DECLARATION_Schedule,COMMERCIAL OPERATION DECLARATION_Schedule_Exp/Actual,TRIAL OPERATION COMPLETION_Schedule,TRIAL OPERATION COMPLETION_Schedule_Exp/Actual,HAND OVER_Schedule,HAND OVER_Schedule_Exp/Actual
31,VIJAYAWADA STG- IV (1X500 MW),STATE,500,05-08-05,AHDHRA PRADESH,BTG,PSSR,APGENCO,04-08-06,18-08-06,04-01-07,10-05-07,N.A.,N.A.,04-12-07,28-12-07,04-05-08,25-12-08,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,04-07-08,05-03-09,N.A.,N.A.,04-08-06,18-08-06,N.A.,N.A.,04-05-08,15-10-08,N.A.,N.A.,04-06-08,31-01-09,05-07-08,31-03-09,N.A.,N.A.,04-08-08,06-04-09,04-11-08,08-10-09,N.A.,N.A.,04-11-08,28-01-10,04-11-08,28-01-10,04-11-08,28-01-10
32,CHHABRA UNIT-1 (2X250 MW),STATE,250,03-03-06,RAJASTHAN,BTG,PSNR,RRVUNL,15-02-07,23-03-07,02-07-07,07-08-07,N.A.,N.A.,16-02-08,16-04-08,17-06-08,26-01-09,24-06-08,18-02-09,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,07-08-08,26-03-09,N.A.,N.A.,21-06-07,18-01-08,N.A.,N.A.,12-05-08,28-02-09,N.A.,N.A.,19-06-08,22-03-09,08-07-08,30-03-09,N.A.,N.A.,03-09-08,16-04-09,03-11-08,30-10-09,N.A.,N.A.,04-11-08,11-06-10,04-11-08,11-06-10,N.A.,N.A.
33,CHANDRAPURA TPS UNIT-7 (2 X 250MW),CENTRAL,250,30-06-04,JHARKHAND,EPC,PSER,DVC,27-02-05,17-10-05,07-07-05,25-04-06,N.A.,N.A.,06-06-05,30-04-07,16-10-06,06-07-08,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,11-11-06,19-12-08,N.A.,N.A.,27-02-05,17-10-05,N.A.,N.A.,01-09-06,18-04-08,N.A.,N.A.,21-10-06,21-09-08,06-11-06,01-10-08,N.A.,N.A.,30-11-06,06-01-09,27-01-07,04-11-09,N.A.,N.A.,27-01-07,02-11-11,27-01-07,02-11-11,N.A.,N.A.
34,DADRI NCTPP UNIT V (1 X 490 MW ),CENTRAL,490,31-07-06,UTTAR PRADESH,BTG,PSNR,NTPC,30-09-07,12-12-07,29-02-08,30-04-08,N.A.,N.A.,21-03-09,26-03-09,30-09-09,23-07-09,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,31-08-09,10-10-09,N.A.,N.A.,31-05-07,06-08-07,31-05-07,17-06-08,31-05-09,17-07-09,N.A.,N.A.,30-06-09,09-11-09,31-08-09,10-12-09,N.A.,N.A.,30-09-09,25-12-09,30-01-10,31-01-10,N.A.,N.A.,30-01-10,31-01-10,30-01-10,31-01-10,30-01-10,31-01-10
35,PARLI UNIT-2 (1X250MW) ,STATE,250,31-08-06,MAHARASHTRA,BTG,PSWR,MSPGCL,30-05-07,17-10-07,30-11-07,15-04-08,N.A.,N.A.,30-06-08,18-12-08,30-10-08,12-07-09,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-11-07,25-07-08,N.A.,N.A.,30-11-08,29-05-09,N.A.,N.A.,N.A.,N.A.,31-01-09,31-10-09,N.A.,N.A.,28-02-09,12-11-09,30-04-09,10-02-10,N.A.,N.A.,30-04-09,31-07-10,30-04-09,31-07-10,N.A.,N.A.
36,PARAS UNIT-2 (1X250 MW) ,STATE,250,31-08-06,MAHARASHTRA,BTG,PSWR,MSPGCL,30-07-07,14-09-07,30-01-08,15-05-08,N.A.,N.A.,30-08-08,18-02-09,30-12-08,22-07-09,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-01-08,18-08-08,N.A.,N.A.,30-01-09,31-07-09,N.A.,N.A.,N.A.,N.A.,31-03-09,29-10-09,N.A.,N.A.,30-04-09,30-11-09,30-06-09,27-03-10,N.A.,N.A.,30-06-09,06-08-10,30-06-09,06-08-10,N.A.,N.A.
37,CHANDRAPURA TPS UNIT-8 (2 X 250MW),CENTRAL,250,30-06-04,JHARKHAND,EPC,PSER,DVC,27-04-05,01-02-06,07-09-05,14-08-06,N.A.,N.A.,07-08-06,02-11-07,16-12-06,29-11-09,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,11-01-06,03-03-10,N.A.,N.A.,27-04-05,01-02-06,N.A.,N.A.,01-11-06,03-09-09,N.A.,N.A.,21-12-06,04-03-10,06-01-07,22-03-10,N.A.,N.A.,30-01-07,31-03-10,27-03-07,31-03-10,N.A.,N.A.,30-04-07,15-07-11,14-04-07,27-11-10,N.A.,N.A.
38,SURAT LIGNITE POWER PROJECT UNIT-3 (2X125 MW),STATE,125,31-03-06,GUJARAT,EPC,PSWR,GIPCL,06-01-07,19-02-07,06-05-07,25-08-07,N.A.,N.A.,22-02-08,06-11-08,24-07-08,19-07-09,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,06-07-07,19-02-07,N.A.,N.A.,23-03-08,28-07-09,N.A.,N.A.,23-05-08,30-07-09,13-08-08,10-08-09,N.A.,N.A.,20-09-08,29-11-09,10-11-08,12-04-10,N.A.,N.A.,10-11-08,31-01-11,10-11-08,31-01-11,N.A.,N.A.
39,SURAT LIGNITE POWER PROJECT UNIT-4 (2X125 MW),STATE,125,31-03-06,GUJARAT,EPC,PSWR,GIPCL,06-05-07,09-07-07,06-09-07,15-11-07,N.A.,N.A.,22-06-08,07-03-09,24-11-08,31-12-09,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,16-11-07,03-07-08,N.A.,N.A.,23-07-08,12-02-10,N.A.,N.A.,23-09-08,31-12-09,13-12-08,28-02-10,N.A.,N.A.,20-01-09,25-03-10,10-03-09,23-04-10,N.A.,N.A.,10-03-09,27-01-12,10-03-09,27-01-12,N.A.,N.A.
40,CHHABRA UNIT-2 (2X250 MW),STATE,250,03-03-06,RAJASTHAN,BTG,PSNR,RRVUNL,02-05-07,21-04-07,02-10-07,26-11-07,N.A.,N.A.,16-05-08,21-04-09,17-09-08,31-12-09,18-09-08,03-02-10,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,07-11-08,05-03-10,N.A.,N.A.,21-09-07,15-01-09,N.A.,N.A.,12-08-08,10-01-10,N.A.,N.A.,19-09-08,22-12-09,08-10-08,22-01-10,N.A.,N.A.,03-12-08,31-03-10,12-03-09,04-05-10,N.A.,N.A.,12-03-09,15-10-11,12-03-09,15-10-11,N.A.,N.A.
41,KAKATIYA TPP (1X500 MW) ,STATE,500,09-01-05,AHDHRA PRADESH,BTG,PSSR,APGENCO ,09-02-07,21-03-07,09-06-07,26-08-07,N.A.,N.A.,09-05-08,04-05-08,09-11-08,28-01-10,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-09-07,25-04-08,N.A.,N.A.,09-09-08,17-11-09,N.A.,N.A.,N.A.,N.A.,09-12-08,24-03-10,N.A.,N.A.,09-02-09,31-03-10,09-04-09,04-05-10,N.A.,N.A.,09-04-09,15-10-11,09-04-09,15-10-11,N.A.,N.A.
42,RAICHUR TPS UNIT-8 (1X250 MW) ,STATE,250,30-03-07,KARNATAKA,BTG,PSSR,KPCL,29-12-07,12-12-07,29-05-08,14-08-08,N.A.,N.A.,29-11-08,25-03-09,29-04-09,15-12-09,20-05-09,29-01-10,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,24-06-09,04-03-10,N.A.,N.A.,29-05-08,24-01-09,N.A.,N.A.,29-04-09,02-01-10,N.A.,N.A.,25-05-09,13-02-10,29-05-09,18-03-10,N.A.,N.A.,29-07-09,09-04-10,29-09-09,26-06-10,N.A.,N.A.,29-09-09,11-12-10,29-09-09,11-12-10,29-09-09,11-12-10
43,BARSINGSAR-TPP UNIT-1 (2X125 MW),CENTRAL,125,29-12-05,RAJASTHAN,EPC,PSNR,NLC,06-10-06,14-03-07,03-02-07,21-06-07,N.A.,N.A.,22-11-07,11-08-08,23-04-08,15-09-09,30-04-08,21-09-09,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,02-06-08,03-10-09,N.A.,N.A.,15-04-07,10-03-08,N.A.,N.A.,28-02-08,31-03-09,N.A.,N.A.,29-04-08,29-08-09,13-05-08,15-09-09,N.A.,N.A.,28-06-08,27-10-09,28-07-08,28-06-10,N.A.,N.A.,28-08-08,24-01-12,28-08-08,06-02-12,N.A.,N.A.
44,DADRI NCTPP UNIT VI (1 X 490 MW),CENTRAL,490,30-11-06,UTTAR PRADESH,BTG,PSNR,NTPC,30-09-07,21-12-07,29-02-08,30-04-08,N.A.,N.A.,28-02-09,26-03-09,30-09-09,08-03-10,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-12-09,27-05-10,N.A.,N.A.,30-07-08,29-01-09,30-07-08,29-01-09,30-09-09,24-02-10,N.A.,N.A.,30-10-09,24-06-10,30-12-09,05-07-10,N.A.,N.A.,30-01-10,16-07-10,30-05-10,29-07-10,N.A.,N.A.,30-05-10,02-11-10,30-05-10,02-11-10,30-05-10,02-11-10
45,MEJIA PH-II UNIT-1 (UNIT-7) (2 X 500 MW ),CENTRAL,500,31-12-06,WEST BENGAL,EPC,PSER,DVC,01-10-07,26-09-07,28-02-08,29-03-08,N.A.,N.A.,31-01-09,09-04-09,31-07-09,31-12-09,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,05-10-09,24-03-10,N.A.,N.A.,15-10-08,26-09-08,N.A.,N.A.,24-07-09,09-11-09,N.A.,N.A.,17-09-09,28-02-10,18-10-09,10-04-10,N.A.,N.A.,31-10-09,12-04-10,31-12-09,30-09-10,N.A.,N.A.,31-01-10,02-08-11,30-01-10,26-02-12,N.A.,N.A.
46,JHAJJAR(INDIRA GANDHI STPP) UNIT-1 (3X500MW),CENTRAL,500,06-07-07,HARYANA,BTG,PSNR,APCPL/NTPC,05-05-08,23-06-08,05-10-08,12-12-08,N.A.,N.A.,05-09-09,28-01-10,05-03-10,01-07-10,12-03-10,29-07-10,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,05-05-10,31-08-10,N.A.,N.A.,12-02-09,07-04-09,14-04-09,07-06-09,14-03-10,07-04-10,N.A.,N.A.,14-06-10,04-09-10,04-07-10,28-09-10,N.A.,N.A.,14-07-10,10-10-10,30-09-10,31-10-10,N.A.,N.A.,14-11-10,05-03-11,14-11-10,07-11-11,N.A.,N.A.
47,KORBA NTPC STAGE III UNIT-7 (1X500MW),CENTRAL,500,24-03-06,CHHATTISGARH,BTG,PSWR,NTPC,23-01-07,17-10-07,23-06-07,27-02-08,N.A.,N.A.,23-06-08,28-01-09,23-01-09,28-02-10,23-02-09,31-03-10,N.A.,N.A.,23-02-09,31-03-10,N.A.,N.A.,23-04-09,04-08-10,N.A.,N.A.,23-11-07,19-04-09,,07-08-09,23-01-09,31-12-09,N.A.,N.A.,23-02-09,22-09-10,23-03-09,27-10-10,N.A.,N.A.,23-05-09,25-11-10,23-07-09,26-12-10,N.A.,N.A.,23-09-09,21-03-11,23-10-09,26-06-11,N.A.,N.A.
48,RAYALASEEMA STAGE-III UNIT-5 (1X210 MW ) ,STATE,210,25-01-07,AHDHRA PRADESH,BTG,PSSR,APGENCO,24-12-07,16-07-08,24-04-08,19-12-08,N.A.,N.A.,24-12-08,14-09-09,24-04-09,12-07-10,N.A.,N.A.,N.A.,N.A.,04-05-09,31-07-10,N.A.,N.A.,24-06-09,03-10-10,N.A.,N.A.,24-06-08,02-08-09,N.A.,N.A.,24-03-09,22-11-10,N.A.,N.A.,N.A.,N.A.,09-07-09,21-11-10,N.A.,N.A.,24-07-09,29-11-10,31-10-09,31-12-10,N.A.,N.A.,31-10-09,10-02-11,31-10-09,31-12-10,31-10-09,21-02-11
49,BARSINGSAR-TPP UNIT-2 (2X125 MW),CENTRAL,125,29-12-05,RAJASTHAN,EPC,PSNR,NLC,06-02-07,04-05-07,03-06-07,14-09-07,N.A.,N.A.,22-03-08,01-06-09,23-08-08,19-02-10,30-08-08,08-03-10,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,02-10-08,11-04-10,N.A.,N.A.,15-08-07,18-07-08,N.A.,N.A.,28-06-08,19-12-09,N.A.,N.A.,29-08-08,25-03-10,13-09-08,02-05-10,N.A.,N.A.,28-10-08,05-06-10,28-11-08,25-01-11,N.A.,N.A.,28-12-08,24-01-12,28-12-08,30-01-12,N.A.,N.A.
50,FARAKKA STPP UNIT-6 (1 X 500 MW),CENTRAL,500,30-10-06,WEST BENGAL,BTG,PSNR,NTPC,01-09-07,30-05-08,30-01-08,04-02-09,N.A.,N.A.,30-01-09,12-03-10,30-08-09,12-10-10,N.A.,N.A.,N.A.,N.A.,31-10-09,26-12-10,N.A.,N.A.,30-11-09,07-02-11,N.A.,N.A.,,26-06-09,,26-08-09,30-08-09,27-02-10,N.A.,N.A.,30-09-09,30-09-10,30-10-09,27-02-11,N.A.,N.A.,30-12-09,07-03-11,30-04-10,23-03-11,N.A.,N.A.,30-04-10,28-02-12,30-04-10,28-02-12,N.A.,N.A.
51,MEJIA PH-II UNIT-2 (UNIT-8) (2 X 500 MW ),CENTRAL,500,31-12-06,WEST BENGAL,EPC,PSER,DVC,01-01-08,30-12-07,31-05-08,08-07-08,N.A.,N.A.,30-04-09,27-07-09,30-10-09,01-07-10,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-01-09,15-01-09,N.A.,N.A.,24-10-09,14-07-10,N.A.,N.A.,N.A.,N.A.,18-01-10,21-10-10,N.A.,N.A.,31-01-10,11-11-10,31-03-10,26-03-11,N.A.,N.A.,31-03-10,16-08-12,15-03-10,01-08-12,30-04-10,12-08-12
52,SIMHADRI STPP STAGE-II UNIT-3 (2X500 MW),CENTRAL,500,26-03-07,AHDHRA PRADESH,BTG,PSSR,NTPC,25-01-08,25-01-08,25-06-08,29-11-08,N.A.,N.A.,25-06-09,03-12-09,25-01-10,28-09-10,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,29-10-08,21-03-09,,03-08-09,29-12-09,16-12-10,N.A.,N.A.,N.A.,N.A.,19-03-10,16-03-11,N.A.,N.A.,29-03-10,29-03-11,25-09-10,31-03-11,N.A.,N.A.,25-09-10,16-11-11,25-09-10,04-11-11,N.A.,N.A.
53,KOTHAGUDEM TPS STG - VI (1 X 500 MW),STATE,500,22-02-07,AHDHRA PRADESH,BTG,PSSR,APGENCO,15-12-07,10-04-08,22-05-08,18-08-08,N.A.,N.A.,22-04-09,23-10-09,22-09-09,31-10-10,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,22-01-10,08-02-11,N.A.,N.A.,15-12-07,10-04-08,N.A.,N.A.,22-10-09,22-12-10,N.A.,N.A.,22-12-09,03-02-11,22-01-10,14-03-11,N.A.,N.A.,22-02-10,30-03-11,22-05-10,26-06-11,N.A.,N.A.,22-05-10,23-10-11,22-05-10,23-10-11,22-05-10,23-10-11
54,SANTALDIH EXTN UNIT-6 (1X250 MW) ,STATE,250,23-03-07,WEST BENGAL,EPC,PSER,WBPDCL,29-12-07,25-04-08,13-04-08,02-10-08,N.A.,N.A.,27-12-08,10-12-09,29-05-09,10-05-10,N.A.,N.A.,N.A.,N.A.,09-06-09,13-08-10,N.A.,N.A.,08-07-09,14-10-10,N.A.,N.A.,30-05-08,14-09-09,N.A.,N.A.,26-01-09,10-07-10,N.A.,N.A.,28-03-09,29-09-10,20-04-09,26-10-10,N.A.,N.A.,20-07-09,21-11-10,22-09-09,29-06-11,N.A.,N.A.,22-09-09,08-10-11,22-09-09,08-10-11,N.A.,N.A.
55,MAITHON RBTPP UNIT-1 (2X525 MW),PRIVATE,525,25-10-07,JHARKHAND,BTG,PSER,MAITHON POWER LIMITED,25-07-08,08-09-08,22-12-08,22-03-09,N.A.,N.A.,25-11-09,23-03-10,10-05-10,05-12-10,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-07-10,10-03-11,N.A.,N.A.,25-05-09,10-08-09,N.A.,N.A.,21-04-10,02-11-10,N.A.,N.A.,21-06-10,26-01-11,15-07-10,08-02-11,N.A.,N.A.,19-08-10,28-03-11,25-09-10,30-06-11,N.A.,N.A.,28-09-10,01-09-11,25-09-10,17-01-12,N.A.,N.A.
56,KODERMA TPP UNIT-1 (2X500 MW),CENTRAL,500,21-07-07,JHARKHAND,EPC,PSER,DVC,20-04-08,15-09-08,17-09-08,08-03-09,N.A.,N.A.,21-08-09,07-03-10,05-02-10,30-12-10,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,18-02-09,26-08-09,N.A.,N.A.,18-01-10,20-12-10,N.A.,N.A.,24-03-10,22-03-11,15-04-10,12-05-11,N.A.,N.A.,05-05-10,27-06-11,08-05-10,20-07-11,N.A.,N.A.,19-06-10,18-07-13,19-06-10,21-10-13,N.A.,N.A.
57,DURGAPUR STEEL TPS UNIT-1 (2X500 MW),CENTRAL,500,03-08-07,WEST BENGAL,EPC,PSER,DVC,03-05-08,06-07-08,30-09-08,29-04-09,N.A.,N.A.,03-09-09,30-03-10,03-03-10,27-02-11,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,03-03-09,14-09-09,N.A.,N.A.,31-01-10,13-11-10,N.A.,N.A.,06-04-10,26-04-11,25-05-10,04-05-11,N.A.,N.A.,03-06-10,12-07-11,27-07-10,29-07-11,N.A.,N.A.,31-08-10,15-05-12,31-08-10,04-01-13,N.A.,N.A.
58,KHAPERKHEDA TPS (1X500 MW) ,STATE,500,23-01-07,MAHARASHTRA,BTG,PSWR,MAHAGENCO,22-12-07,12-02-08,22-06-08,28-11-08,N.A.,N.A.,22-05-09,05-11-09,22-12-09,27-10-10,22-01-10,17-11-10,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,22-02-10,06-02-11,N.A.,N.A.,22-09-08,27-03-09,N.A.,N.A.,22-11-09,31-10-10,N.A.,N.A.,N.A.,N.A.,22-02-10,09-03-11,N.A.,N.A.,22-03-10,31-03-11,22-05-10,05-08-11,N.A.,N.A.,22-05-10,16-04-12,22-05-10,04-04-12,N.A.,N.A.
59,HARDUAGANJ EXTENSION UNIT-8 (2 X 250 MW ),STATE,250,07-09-06,UTTAR PRADESH,BTG + CIVIL,PSNR,UPRVUNL,07-07-07,25-08-08,07-01-08,30-01-09,N.A.,N.A.,07-12-08,30-11-09,07-04-09,25-03-11,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,07-07-09,19-06-11,N.A.,N.A.,07-04-08,06-11-09,N.A.,N.A.,07-04-09,10-02-11,N.A.,N.A.,07-05-09,25-06-11,07-07-09,30-06-11,N.A.,N.A.,07-08-09,10-08-11,07-10-09,27-09-11,N.A.,N.A.,07-10-09,01-02-12,07-10-09,30-01-12,N.A.,N.A.
60,JHAJJAR(INDIRA GANDHI STPP) UNIT-2 (3X500MW),CENTRAL,500,06-07-07,HARYANA,BTG,PSNR,APCPL/NTPC,05-08-08,12-12-08,05-01-09,09-04-09,N.A.,N.A.,05-12-09,04-05-10,05-06-10,29-05-11,12-06-10,16-06-11,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,05-08-10,11-08-11,N.A.,N.A.,12-05-09,05-12-09,14-07-09,05-02-10,14-06-10,04-04-11,N.A.,N.A.,14-09-10,09-09-11,01-10-10,09-10-11,N.A.,N.A.,14-10-10,21-10-11,31-12-10,05-11-11,N.A.,N.A.,14-02-11,21-04-12,14-02-11,03-10-13,N.A.,N.A.
61,NEYVELI TPS II EXPANSION UNIT-1 (2X250 MW),CENTRAL,250,19-08-05,TAMILNADU,EPC,PSSR,NLC,20-06-06,28-04-07,19-11-06,06-02-08,N.A.,N.A.,18-09-07,01-07-09,19-02-08,28-02-11,01-04-08,10-03-11,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,01-05-08,02-04-11,N.A.,N.A.,20-06-06,29-06-08,N.A.,N.A.,17-01-08,10-01-10,N.A.,N.A.,18-03-08,31-12-10,18-04-08,12-02-11,N.A.,N.A.,19-05-08,18-05-11,19-07-08,04-02-12,N.A.,N.A.,19-08-08,03-07-15,19-08-08,27-09-16,N.A.,N.A.
62,BHUSAWAL UNIT-4 (2X500MW ),STATE,500,23-01-07,MAHARASHTRA,BTG,PSWR,MSPGCL,28-02-08,26-03-08,22-08-08,09-01-09,N.A.,N.A.,24-07-09,31-03-10,22-02-10,05-03-11,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,22-11-08,14-03-09,N.A.,N.A.,22-01-10,21-12-10,N.A.,N.A.,N.A.,N.A.,22-04-10,28-03-11,N.A.,N.A.,22-05-10,11-05-11,22-08-10,07-03-12,N.A.,N.A.,22-08-10,18-07-12,24-08-10,18-07-12,N.A.,N.A.
63,BELLARY TPS UNIT-2 (1X500 MW) ,STATE,500,19-09-07,KARNATAKA,EPC,PSSR,KPCL,18-08-08,17-11-08,18-02-09,06-04-09,N.A.,N.A.,18-01-10,24-06-10,18-07-10,04-02-11,03-08-10,18-04-11,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,16-09-10,09-11-11,N.A.,N.A.,18-08-09,05-03-10,N.A.,N.A.,18-05-10,25-07-11,N.A.,N.A.,02-08-10,18-11-11,18-09-10,09-01-12,N.A.,N.A.,18-11-10,27-01-12,18-02-11,23-03-12,N.A.,N.A.,18-02-11,10-03-13,18-02-11,09-03-13,18-02-11,10-03-13
64,DURGAPUR STEEL TPS UNIT-2 (2X500 MW),CENTRAL,500,03-08-07,WEST BENGAL,EPC,PSER,DVC,03-08-08,15-11-08,30-12-08,08-07-09,N.A.,N.A.,03-12-09,26-12-10,03-06-10,16-11-11,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,03-06-09,25-02-10,N.A.,N.A.,30-04-10,13-11-11,N.A.,N.A.,06-07-10,12-01-12,15-08-10,12-02-12,N.A.,N.A.,03-09-10,12-03-12,27-10-10,23-03-12,N.A.,N.A.,27-10-10,05-03-13,27-10-10,25-03-14,N.A.,N.A.
65,MAITHON RBTPP UNIT-2 (2X525 MW),PRIVATE,525,25-10-07,JHARKHAND,BTG,PSER,MAITHON POWER LIMITED,25-01-09,25-01-09,22-06-09,22-06-09,N.A.,N.A.,25-05-10,23-10-10,10-11-10,29-08-11,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-01-11,20-11-11,N.A.,N.A.,25-11-09,02-07-10,N.A.,N.A.,21-10-10,10-09-11,N.A.,N.A.,21-12-10,10-11-11,15-01-11,16-12-11,N.A.,N.A.,09-02-11,17-03-12,25-03-11,23-03-12,N.A.,N.A.,25-03-11,24-07-12,25-03-11,31-07-12,N.A.,N.A.
66,VALLUR TPS UNIT-1 (2X500 MW),CENTRAL,500,13-08-07,TAMILNADU,BTG,PSSR,NTECL,12-06-08,05-01-09,12-11-08,10-06-09,N.A.,N.A.,12-11-09,15-06-10,12-06-10,28-08-11,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,12-09-10,01-12-11,N.A.,N.A.,12-04-09,10-12-09,12-06-09,26-12-09,12-06-10,30-09-11,N.A.,N.A.,12-07-10,26-12-11,12-08-10,26-02-12,N.A.,N.A.,12-10-10,09-03-12,12-02-11,28-03-12,N.A.,N.A.,30-04-11,29-11-12,30-04-11,23-03-13,N.A.,N.A.
67,BHUSAWAL UNIT-5 (2X500MW ),STATE,500,23-01-07,MAHARASHTRA,BTG,PSWR,MSPGCL,22-06-08,03-08-08,22-12-08,20-04-09,N.A.,N.A.,22-11-09,29-06-10,22-06-10,22-11-11,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,22-03-09,29-10-09,N.A.,N.A.,22-05-10,09-07-11,N.A.,N.A.,N.A.,N.A.,22-08-10,06-02-12,N.A.,N.A.,22-09-10,03-03-12,22-12-10,30-03-12,N.A.,N.A.,22-09-10,01-06-13,22-09-10,01-06-13,N.A.,N.A.
68,SIMHADRI STPP STAGE-II UNIT-4 (2X500 MW),CENTRAL,500,26-03-07,AHDHRA PRADESH,BTG,PSSR,NTPC,25-06-08,25-06-08,25-11-08,24-03-09,N.A.,N.A.,25-11-09,31-03-10,25-06-10,07-12-11,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,27-10-10,18-02-12,N.A.,N.A.,29-03-09,08-04-11,,15-04-11,29-05-10,19-12-11,N.A.,N.A.,N.A.,N.A.,19-08-10,22-03-12,N.A.,N.A.,29-08-10,30-03-12,25-02-11,30-03-12,N.A.,N.A.,25-02-11,30-09-12,25-02-11,29-12-12,N.A.,N.A.
