0,Project,Sector,MW,Zero Date,State,Scope,Region,Customer,PROJECT START_Schedule,PROJECT START_Schedule_Exp/Actual,SITE OPENING_Schedule,SITE OPENING_Schedule_Exp/Actual,CVL START_Schedule,CVL START_Schedule_Exp/Actual,BOILER ERECTION START_Schedule,BOILER ERECTION START_Schedule_Exp/Actual,DRUM LIFTING_Schedule,DRUM LIFTING_Schedule_Exp/Actual,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule_Exp/Actual,HYDRAULIC TEST_Schedule,HYDRAULIC TEST_Schedule_Exp/Actual,BOILER LIGHT UP_Schedule,BOILER LIGHT UP_Schedule_Exp/Actual,ALKALI BOIL OUT COMPLETION_Schedule,ALKALI BOIL OUT COMPLETION_Schedule_Exp/Actual,EDTA START_Schedule,EDTA START_Schedule_Exp/Actual,EDTA COMPLETION_Schedule,EDTA COMPLETION_Schedule_Exp/Actual,STEAM BLOWING START_Schedule,STEAM BLOWING START_Schedule_Exp/Actual,STEAM BLOWING COMPLETION_Schedule,STEAM BLOWING COMPLETION_Schedule_Exp/Actual,NORMALIZATION_Schedule,NORMALIZATION_Schedule_Exp/Actual,CONDENSER ERECTION START_Schedule,CONDENSER ERECTION START_Schedule_Exp/Actual,TURBINE ERECTION START_Schedule,TURBINE ERECTION START_Schedule_Exp/Actual,TG BOX UP_Schedule,TG BOX UP_Schedule_Exp/Actual,OIL FLUSHING START_Schedule,OIL FLUSHING START_Schedule_Exp/Actual,OIL FLUSHING COMPLETION_Schedule,OIL FLUSHING COMPLETION_Schedule_Exp/Actual,BARRING GEAR_Schedule,BARRING GEAR_Schedule_Exp/Actual,ROLLING_Schedule,ROLLING_Schedule_Exp/Actual,SYNCHRONISATION_Schedule,SYNCHRONISATION_Schedule_Exp/Actual,FULL LOAD_Schedule,FULL LOAD_Schedule_Exp/Actual,CAPACITY ADDITION_Schedule,CAPACITY ADDITION_Schedule_Exp/Actual,COMMERCIAL OPERATION DECLARATION_Schedule,COMMERCIAL OPERATION DECLARATION_Schedule_Exp/Actual,TRIAL OPERATION COMPLETION_Schedule,TRIAL OPERATION COMPLETION_Schedule_Exp/Actual,HAND OVER_Schedule,HAND OVER_Schedule_Exp/Actual
21,LEHRA MOHABBAT UNIT-4(250 MW),,250,31-03-2004,PUNJAB,EPC,PSNR,PSEB,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,14-06-2005,14-07-2005,12-10-2005,30-10-2005,N.A.,N.A.,15-08-2006,22-01-2007,19-11-2006,20-04-2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,20-01-2007,27-06-2008,N.A.,N.A.,18-11-2005,25-10-2006,N.A.,N.A.,23-10-2006,04-02-2008,N.A.,N.A.,22-11-2006,15-06-2008,20-12-2006,30-06-2008,N.A.,N.A.,25-01-2007,31-07-2008,N.A.,N.A.,N.A.,N.A.,30-03-2007,05-02-2009,30-03-2007,05-02-2009,N.A.,N.A.
22,SIPAT-5(500 MW),,500,15-12-2003,CHATTISGARH,BTG,PSSR,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-03-2005,30-03-2005,15-08-2005,07-10-2005,N.A.,N.A.,15-07-2006,27-12-2006,15-01-2007,21-11-2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-03-2007,15-02-2008,N.A.,N.A.,15-12-2005,05-04-2007,N.A.,N.A.,15-01-2007,06-12-2007,N.A.,N.A.,15-03-2007,10-07-2008,31-03-2007,06-08-2008,N.A.,N.A.,14-05-2007,13-08-2008,14-09-2007,27-12-2008,N.A.,N.A.,14-09-2007,27-12-2008,14-09-2007,31-12-2008,N.A.,N.A.
23,TROMBAY-8(250 MW),,250,05-06-2006,MAHARASTRA,BTG,PSWR,TATA POWER,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,01-01-2007,01-01-2007,21-07-2007,14-06-2007,N.A.,N.A.,21-02-2008,29-08-2008,21-05-2008,30-09-2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-09-2008,30-11-2008,N.A.,N.A.,05-10-2007,15-11-2007,N.A.,N.A.,05-06-2008,06-07-2008,N.A.,N.A.,05-07-2008,06-12-2008,01-08-2008,15-12-2008,N.A.,N.A.,21-08-2008,14-01-2009,06-10-2008,29-03-2009,N.A.,N.A.,06-10-2008,29-03-2009,06-10-2008,29-03-2009,N.A.,N.A.
24,BAKRESWAR - MP UNIT-5 (2 X 210 MW),STATE,210,30-11-2004,WEST BENGAL,BTG,PSER,WBPDCL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-09-2005,01-12-2005,30-01-2006,09-08-2006,N.A.,N.A.,30-12-2006,24-03-2008,31-03-2007,29-06-2008,16-04-2007,15-07-2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-04-2007,28-01-2009,N.A.,N.A.,30-09-2005,01-12-2005,N.A.,N.A.,15-03-2007,25-09-2008,N.A.,N.A.,30-03-2007,30-01-2009,15-04-2007,28-02-2009,N.A.,N.A.,30-06-2007,30-03-2009,29-10-2007,27-06-2009,N.A.,N.A.,30-10-2007,24-06-2009,30-10-2007,24-06-2009,29-10-2007,27-06-2009
25,GIRAL UNIT-2 (2X125 MW),STATE,125,15-12-2005,RAJASTHAN,BTG,PSNR,RRVUNL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,14-12-2006,14-12-2006,31-03-2007,10-05-2007,N.A.,N.A.,31-12-2007,28-03-2008,31-03-2008,15-09-2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,24-03-2008,30-10-2008,N.A.,N.A.,02-05-2007,09-09-2007,N.A.,N.A.,02-03-2008,10-11-2008,N.A.,N.A.,30-04-2008,15-11-2008,18-05-2008,20-11-2008,N.A.,N.A.,14-06-2008,26-12-2008,14-07-2008,27-06-2009,N.A.,N.A.,14-07-2008,12-03-2011,14-07-2008,12-03-2011,N.A.,N.A.
26,BHILAI TPS-2(250 MW),,250,31-03-2005,CHATTISGARH,EPC,PSWR,NSPCL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,28-02-2006,21-05-2006,30-07-2006,08-10-2006,N.A.,N.A.,15-03-2007,13-10-2007,15-07-2007,05-09-2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-09-2007,28-01-2009,N.A.,N.A.,30-09-2006,19-02-2007,N.A.,N.A.,30-06-2007,31-12-2008,N.A.,N.A.,31-08-2007,20-01-2009,25-09-2007,10-03-2009,N.A.,N.A.,15-10-2007,28-03-2009,15-10-2007,12-07-2009,N.A.,N.A.,15-01-2008,21-10-2011,15-01-2008,30-11-2009,N.A.,N.A.
27,KAHALGAON UNIT-7(500),,500,15-12-2003,BIHAR,BTG,PSER,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-10-2004,17-11-2004,15-03-2005,28-03-2005,N.A.,N.A.,15-02-2006,31-10-2006,15-08-2006,15-11-2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-10-2006,01-03-2009,N.A.,N.A.,15-07-2005,16-08-2006,N.A.,N.A.,15-08-2006,31-08-2007,N.A.,N.A.,15-09-2006,04-01-2009,15-10-2006,09-03-2009,N.A.,N.A.,15-12-2006,31-03-2009,15-04-2007,31-07-2009,N.A.,N.A.,15-04-2007,20-03-2010,15-04-2007,11-04-2010,N.A.,N.A.
28,SURATGARH 6 (1X250 MW),STATE,250,15-06-2006,RAJASTHAN,BTG,PSNR,RRVUNL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-03-2007,21-05-2007,12-08-2007,30-09-2007,N.A.,N.A.,28-03-2008,31-05-2008,28-07-2008,25-01-2009,29-07-2008,17-02-2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,17-09-2008,16-03-2009,N.A.,N.A.,03-09-2007,21-04-2008,N.A.,N.A.,20-07-2008,12-01-2009,N.A.,N.A.,27-08-2008,15-03-2009,07-09-2008,24-03-2009,N.A.,N.A.,16-10-2008,31-03-2009,16-12-2008,29-08-2009,N.A.,N.A.,30-12-2009,30-12-2009,15-12-2008,13-10-2009,N.A.,N.A.
29,KOTA UNIT-7 (1X195 MW),STATE,195,15-06-2006,RAJASTHAN,BTG,PSNR,RRVUNL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,06-04-2007,21-05-2007,03-09-2007,28-10-2007,N.A.,N.A.,19-04-2008,31-05-2008,19-08-2008,22-01-2009,26-08-2008,21-02-2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,09-10-2008,01-05-2009,N.A.,N.A.,03-10-2007,19-05-2008,N.A.,N.A.,17-08-2008,06-02-2009,N.A.,N.A.,24-09-2008,05-05-2009,11-10-2008,15-05-2009,N.A.,N.A.,07-11-2008,30-05-2009,07-01-2009,31-08-2009,N.A.,N.A.,15-12-2009,15-12-2009,06-01-2009,14-12-2009,N.A.,N.A.
30,BUDGE BUDGE,,250,24-12-2006,WEST BANGAL,EPC,PSER,CESC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,17-07-2007,10-08-2007,31-12-2007,10-02-2008,N.A.,N.A.,25-08-2008,28-09-2008,08-12-2008,19-03-2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,22-03-2009,10-06-2009,N.A.,N.A.,18-02-2008,29-05-2008,N.A.,N.A.,14-12-2008,31-05-2009,N.A.,N.A.,13-01-2009,10-06-2009,03-02-2009,20-06-2009,N.A.,N.A.,29-04-2009,12-07-2009,29-06-2009,29-09-2009,N.A.,N.A.,29-06-2009,27-02-2010,29-06-2009,27-02-2010,N.A.,N.A.
31,VIJAYAWADA STG- IV (1X500 MW),STATE,500,05-08-2005,AHDHRA PRADESH,BTG,PSSR,APGENCO,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,04-08-2006,18-08-2006,04-01-2007,10-05-2007,N.A.,N.A.,04-12-2007,28-12-2007,04-05-2008,25-12-2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,04-07-2008,05-03-2009,N.A.,N.A.,04-08-2006,18-08-2006,N.A.,N.A.,04-05-2008,15-10-2008,N.A.,N.A.,04-06-2008,31-01-2009,05-07-2008,31-03-2009,N.A.,N.A.,04-08-2008,06-04-2009,04-11-2008,08-10-2009,N.A.,N.A.,04-11-2008,28-01-2010,04-11-2008,28-01-2010,04-11-2008,28-01-2010
32,CHHABRA UNIT-1 (2X250 MW),STATE,250,03-03-2006,RAJASTHAN,BTG,PSNR,RRVUNL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-02-2007,23-03-2007,02-07-2007,07-08-2007,N.A.,N.A.,16-02-2008,16-04-2008,17-06-2008,26-01-2009,24-06-2008,18-02-2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,07-08-2008,26-03-2009,N.A.,N.A.,21-06-2007,18-01-2008,N.A.,N.A.,12-05-2008,28-02-2009,N.A.,N.A.,19-06-2008,22-03-2009,08-07-2008,30-03-2009,N.A.,N.A.,03-09-2008,16-04-2009,03-11-2008,30-10-2009,N.A.,N.A.,04-11-2008,11-06-2010,04-11-2008,11-06-2010,N.A.,N.A.
33,CHANDRAPURA TPS UNIT-7 (2 X 250MW),CENTRAL,250,30-06-2004,JHARKHAND,EPC,PSER,DVC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,27-02-2005,17-10-2005,07-07-2005,25-04-2006,N.A.,N.A.,06-06-2005,30-04-2007,16-10-2006,06-07-2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,11-11-2006,19-12-2008,N.A.,N.A.,27-02-2005,17-10-2005,N.A.,N.A.,01-09-2006,18-04-2008,N.A.,N.A.,21-10-2006,21-09-2008,06-11-2006,01-10-2008,N.A.,N.A.,30-11-2006,06-01-2009,27-01-2007,04-11-2009,N.A.,N.A.,27-01-2007,02-11-2011,27-01-2007,02-11-2011,N.A.,N.A.
34,DADRI NCTPP UNIT V (1 X 490 MW ),CENTRAL,490,31-07-2006,UTTAR PRADESH,BTG,PSNR,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-09-2007,12-12-2007,29-02-2008,30-04-2008,N.A.,N.A.,21-03-2009,26-03-2009,30-09-2009,23-07-2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,31-08-2009,10-10-2009,N.A.,N.A.,31-05-2007,06-08-2007,31-05-2007,17-06-2008,31-05-2009,17-07-2009,N.A.,N.A.,30-06-2009,09-11-2009,31-08-2009,10-12-2009,N.A.,N.A.,30-09-2009,25-12-2009,30-01-2010,31-01-2010,N.A.,N.A.,30-01-2010,31-01-2010,30-01-2010,31-01-2010,30-01-2010,31-01-2010
35,PARLI UNIT-2 (1X250MW) ,STATE,250,31-08-2006,MAHARASHTRA,BTG,PSWR,MSPGCL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-05-2007,17-10-2007,30-11-2007,15-04-2008,N.A.,N.A.,30-06-2008,18-12-2008,30-10-2008,12-07-2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-11-2007,25-07-2008,N.A.,N.A.,30-11-2008,29-05-2009,N.A.,N.A.,N.A.,N.A.,31-01-2009,31-10-2009,N.A.,N.A.,28-02-2009,12-11-2009,30-04-2009,10-02-2010,N.A.,N.A.,30-04-2009,31-07-2010,30-04-2009,31-07-2010,N.A.,N.A.
36,PARAS UNIT-2 (1X250 MW) ,STATE,250,31-08-2006,MAHARASHTRA,BTG,PSWR,MSPGCL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-07-2007,14-09-2007,30-01-2008,15-05-2008,N.A.,N.A.,30-08-2008,18-02-2009,30-12-2008,22-07-2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-01-2008,18-08-2008,N.A.,N.A.,30-01-2009,31-07-2009,N.A.,N.A.,N.A.,N.A.,31-03-2009,29-10-2009,N.A.,N.A.,30-04-2009,30-11-2009,30-06-2009,27-03-2010,N.A.,N.A.,30-06-2009,06-08-2010,30-06-2009,06-08-2010,N.A.,N.A.
37,CHANDRAPURA TPS UNIT-8 (2 X 250MW),CENTRAL,250,30-06-2004,JHARKHAND,EPC,PSER,DVC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,27-04-2005,01-02-2006,07-09-2005,14-08-2006,N.A.,N.A.,07-08-2006,02-11-2007,16-12-2006,29-11-2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,11-01-2006,03-03-2010,N.A.,N.A.,27-04-2005,01-02-2006,N.A.,N.A.,01-11-2006,03-09-2009,N.A.,N.A.,21-12-2006,04-03-2010,06-01-2007,22-03-2010,N.A.,N.A.,30-01-2007,31-03-2010,27-03-2007,31-03-2010,N.A.,N.A.,30-04-2007,15-07-2011,14-04-2007,27-11-2010,N.A.,N.A.
38,SURAT LIGNITE POWER PROJECT UNIT-3 (2X125 MW),STATE,125,31-03-2006,GUJARAT,EPC,PSWR,GIPCL,N.A.,N.A.,N.A.,N.A.,15-09-2006,31-10-2006,06-01-2007,19-02-2007,06-05-2007,25-08-2007,N.A.,N.A.,22-02-2008,06-11-2008,24-07-2008,19-07-2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,06-07-2007,19-02-2007,N.A.,N.A.,23-03-2008,28-07-2009,N.A.,N.A.,23-05-2008,30-07-2009,13-08-2008,10-08-2009,N.A.,N.A.,20-09-2008,29-11-2009,10-11-2008,12-04-2010,N.A.,N.A.,10-11-2008,31-01-2011,10-11-2008,31-01-2011,N.A.,N.A.
39,SURAT LIGNITE POWER PROJECT UNIT-4 (2X125 MW),STATE,125,31-03-2006,GUJARAT,EPC,PSWR,GIPCL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,06-05-2007,09-07-2007,06-09-2007,15-11-2007,N.A.,N.A.,22-06-2008,07-03-2009,24-11-2008,31-12-2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,16-11-2007,03-07-2008,N.A.,N.A.,23-07-2008,12-02-2010,N.A.,N.A.,23-09-2008,31-12-2009,13-12-2008,28-02-2010,N.A.,N.A.,20-01-2009,25-03-2010,10-03-2009,23-04-2010,N.A.,N.A.,10-03-2009,27-01-2012,10-03-2009,27-01-2012,N.A.,N.A.
40,CHHABRA UNIT-2 (2X250 MW),STATE,250,03-03-2006,RAJASTHAN,BTG,PSNR,RRVUNL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,02-05-2007,21-04-2007,02-10-2007,26-11-2007,N.A.,N.A.,16-05-2008,21-04-2009,17-09-2008,31-12-2009,18-09-2008,03-02-2010,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,07-11-2008,05-03-2010,N.A.,N.A.,21-09-2007,15-01-2009,N.A.,N.A.,12-08-2008,10-01-2010,N.A.,N.A.,19-09-2008,22-12-2009,08-10-2008,22-01-2010,N.A.,N.A.,03-12-2008,31-03-2010,12-03-2009,04-05-2010,N.A.,N.A.,12-03-2009,15-10-2011,12-03-2009,15-10-2011,N.A.,N.A.
41,KAKATIYA TPP (1X500 MW) ,STATE,500,09-01-2005,AHDHRA PRADESH,BTG,PSSR,APGENCO ,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,09-02-2007,21-03-2007,09-06-2007,26-08-2007,N.A.,N.A.,09-05-2008,04-05-2008,09-11-2008,28-01-2010,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-09-2007,25-04-2008,N.A.,N.A.,09-09-2008,17-11-2009,N.A.,N.A.,N.A.,N.A.,09-12-2008,24-03-2010,N.A.,N.A.,09-02-2009,31-03-2010,09-04-2009,04-05-2010,N.A.,N.A.,09-04-2009,15-10-2011,09-04-2009,15-10-2011,N.A.,N.A.
42,RAICHUR TPS UNIT-8 (1X250 MW) ,STATE,250,30-03-2007,KARNATAKA,BTG,PSSR,KPCL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,29-12-2007,12-12-2007,29-05-2008,14-08-2008,N.A.,N.A.,29-11-2008,25-03-2009,29-04-2009,15-12-2009,20-05-2009,29-01-2010,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,24-06-2009,04-03-2010,N.A.,N.A.,29-05-2008,24-01-2009,N.A.,N.A.,29-04-2009,02-01-2010,N.A.,N.A.,25-05-2009,13-02-2010,29-05-2009,18-03-2010,N.A.,N.A.,29-07-2009,09-04-2010,29-09-2009,26-06-2010,N.A.,N.A.,29-09-2009,11-12-2010,29-09-2009,11-12-2010,29-09-2009,11-12-2010
43,BARSINGSAR-TPP UNIT-1 (2X125 MW),CENTRAL,125,29-12-2005,RAJASTHAN,EPC,PSNR,NLC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,06-10-2006,14-03-2007,03-02-2007,21-06-2007,N.A.,N.A.,22-11-2007,11-08-2008,23-04-2008,15-09-2009,30-04-2008,21-09-2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,02-06-2008,03-10-2009,N.A.,N.A.,15-04-2007,10-03-2008,N.A.,N.A.,28-02-2008,31-03-2009,N.A.,N.A.,29-04-2008,29-08-2009,13-05-2008,15-09-2009,N.A.,N.A.,28-06-2008,27-10-2009,28-07-2008,28-06-2010,N.A.,N.A.,28-08-2008,24-01-2012,28-08-2008,06-02-2012,N.A.,N.A.
44,DADRI NCTPP UNIT VI (1 X 490 MW),CENTRAL,490,30-11-2006,UTTAR PRADESH,BTG,PSNR,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-09-2007,21-12-2007,29-02-2008,30-04-2008,N.A.,N.A.,28-02-2009,26-03-2009,30-09-2009,08-03-2010,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-12-2009,27-05-2010,N.A.,N.A.,30-07-2008,29-01-2009,30-07-2008,29-01-2009,30-09-2009,24-02-2010,N.A.,N.A.,30-10-2009,24-06-2010,30-12-2009,05-07-2010,N.A.,N.A.,30-01-2010,16-07-2010,30-05-2010,29-07-2010,N.A.,N.A.,30-05-2010,02-11-2010,30-05-2010,02-11-2010,30-05-2010,02-11-2010
45,MEJIA PH-II UNIT-1 (UNIT-7) (2 X 500 MW ),CENTRAL,500,31-12-2006,WEST BENGAL,EPC,PSER,DVC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,01-10-2007,26-09-2007,28-02-2008,29-03-2008,N.A.,N.A.,31-01-2009,09-04-2009,31-07-2009,31-12-2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,05-10-2009,24-03-2010,N.A.,N.A.,15-10-2008,26-09-2008,N.A.,N.A.,24-07-2009,09-11-2009,N.A.,N.A.,17-09-2009,28-02-2010,18-10-2009,10-04-2010,N.A.,N.A.,31-10-2009,12-04-2010,31-12-2009,30-09-2010,N.A.,N.A.,31-01-2010,02-08-2011,30-01-2010,26-02-2012,N.A.,N.A.
46,JHAJJAR(INDIRA GANDHI STPP) UNIT-1 (3X500MW),CENTRAL,500,06-07-2007,HARYANA,BTG,PSNR,APCPL/NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,05-05-2008,23-06-2008,05-10-2008,12-12-2008,N.A.,N.A.,05-09-2009,28-01-2010,05-03-2010,01-07-2010,12-03-2010,29-07-2010,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,05-05-2010,31-08-2010,N.A.,N.A.,12-02-2009,07-04-2009,14-04-2009,07-06-2009,14-03-2010,07-04-2010,N.A.,N.A.,14-06-2010,04-09-2010,04-07-2010,28-09-2010,N.A.,N.A.,14-07-2010,10-10-2010,30-09-2010,31-10-2010,N.A.,N.A.,14-11-2010,05-03-2011,14-11-2010,07-11-2011,N.A.,N.A.
47,KORBA NTPC STAGE III UNIT-7 (1X500MW),CENTRAL,500,24-03-2006,CHHATTISGARH,BTG,PSWR,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,23-01-2007,17-10-2007,23-06-2007,27-02-2008,N.A.,N.A.,23-06-2008,28-01-2009,23-01-2009,28-02-2010,23-02-2009,31-03-2010,N.A.,N.A.,23-02-2009,31-03-2010,N.A.,N.A.,23-04-2009,04-08-2010,N.A.,N.A.,23-11-2007,19-04-2009,,07-08-2009,23-01-2009,31-12-2009,N.A.,N.A.,23-02-2009,22-09-2010,23-03-2009,27-10-2010,N.A.,N.A.,23-05-2009,25-11-2010,23-07-2009,26-12-2010,N.A.,N.A.,23-09-2009,21-03-2011,23-10-2009,26-06-2011,N.A.,N.A.
48,RAYALASEEMA STAGE-III UNIT-5 (1X210 MW ) ,STATE,210,25-01-2007,AHDHRA PRADESH,BTG,PSSR,APGENCO,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,24-12-2007,16-07-2008,24-04-2008,19-12-2008,N.A.,N.A.,24-12-2008,14-09-2009,24-04-2009,12-07-2010,N.A.,N.A.,N.A.,N.A.,04-05-2009,31-07-2010,N.A.,N.A.,24-06-2009,03-10-2010,N.A.,N.A.,24-06-2008,02-08-2009,N.A.,N.A.,24-03-2009,22-11-2010,N.A.,N.A.,N.A.,N.A.,09-07-2009,21-11-2010,N.A.,N.A.,24-07-2009,29-11-2010,31-10-2009,31-12-2010,N.A.,N.A.,31-10-2009,10-02-2011,31-10-2009,31-12-2010,31-10-2009,21-02-2011
49,BARSINGSAR-TPP UNIT-2 (2X125 MW),CENTRAL,125,29-12-2005,RAJASTHAN,EPC,PSNR,NLC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,06-02-2007,04-05-2007,03-06-2007,14-09-2007,N.A.,N.A.,22-03-2008,01-06-2009,23-08-2008,19-02-2010,30-08-2008,08-03-2010,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,02-10-2008,11-04-2010,N.A.,N.A.,15-08-2007,18-07-2008,N.A.,N.A.,28-06-2008,19-12-2009,N.A.,N.A.,29-08-2008,25-03-2010,13-09-2008,02-05-2010,N.A.,N.A.,28-10-2008,05-06-2010,28-11-2008,25-01-2011,N.A.,N.A.,28-12-2008,24-01-2012,28-12-2008,30-01-2012,N.A.,N.A.
50,FARAKKA STPP UNIT-6 (1 X 500 MW),CENTRAL,500,30-10-2006,WEST BENGAL,BTG,PSNR,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,01-09-2007,30-05-2008,30-01-2008,04-02-2009,N.A.,N.A.,30-01-2009,12-03-2010,30-08-2009,12-10-2010,N.A.,N.A.,N.A.,N.A.,31-10-2009,26-12-2010,N.A.,N.A.,30-11-2009,07-02-2011,N.A.,N.A.,,26-06-2009,,26-08-2009,30-08-2009,27-02-2010,N.A.,N.A.,30-09-2009,30-09-2010,30-10-2009,27-02-2011,N.A.,N.A.,30-12-2009,07-03-2011,30-04-2010,23-03-2011,N.A.,N.A.,30-04-2010,28-02-2012,30-04-2010,28-02-2012,N.A.,N.A.
51,MEJIA PH-II UNIT-2 (UNIT-8) (2 X 500 MW ),CENTRAL,500,31-12-2006,WEST BENGAL,EPC,PSER,DVC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,01-01-2008,30-12-2007,31-05-2008,08-07-2008,N.A.,N.A.,30-04-2009,27-07-2009,30-10-2009,01-07-2010,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-01-2009,15-01-2009,N.A.,N.A.,24-10-2009,14-07-2010,N.A.,N.A.,N.A.,N.A.,18-01-2010,21-10-2010,N.A.,N.A.,31-01-2010,11-11-2010,31-03-2010,26-03-2011,N.A.,N.A.,31-03-2010,16-08-2012,15-03-2010,01-08-2012,30-04-2010,12-08-2012
52,SIMHADRI STPP STAGE-II UNIT-3 (2X500 MW),CENTRAL,500,26-03-2007,AHDHRA PRADESH,BTG,PSSR,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,25-01-2008,25-01-2008,25-06-2008,29-11-2008,N.A.,N.A.,25-06-2009,03-12-2009,25-01-2010,28-09-2010,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,29-10-2008,21-03-2009,,03-08-2009,29-12-2009,16-12-2010,N.A.,N.A.,N.A.,N.A.,19-03-2010,16-03-2011,N.A.,N.A.,29-03-2010,29-03-2011,25-09-2010,31-03-2011,N.A.,N.A.,25-09-2010,16-11-2011,25-09-2010,04-11-2011,N.A.,N.A.
53,KOTHAGUDEM TPS STG - VI (1 X 500 MW),STATE,500,22-02-2007,AHDHRA PRADESH,BTG,PSSR,APGENCO,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-12-2007,10-04-2008,22-05-2008,18-08-2008,N.A.,N.A.,22-04-2009,23-10-2009,22-09-2009,31-10-2010,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,22-01-2010,08-02-2011,N.A.,N.A.,15-12-2007,10-04-2008,N.A.,N.A.,22-10-2009,22-12-2010,N.A.,N.A.,22-12-2009,03-02-2011,22-01-2010,14-03-2011,N.A.,N.A.,22-02-2010,30-03-2011,22-05-2010,26-06-2011,N.A.,N.A.,22-05-2010,23-10-2011,22-05-2010,23-10-2011,22-05-2010,23-10-2011
