0,Project,Sector,MW,Zero Date,State,Scope,Region,Customer,PROJECT START_Schedule,PROJECT START_Schedule_Exp/Actual,SITE OPENING_Schedule,SITE OPENING_Schedule_Exp/Actual,CVL START_Schedule,CVL START_Schedule_Exp/Actual,BOILER ERECTION START_Schedule,BOILER ERECTION START_Schedule_Exp/Actual,DRUM LIFTING_Schedule,DRUM LIFTING_Schedule_Exp/Actual,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule_Exp/Actual,HYDRAULIC TEST_Schedule,HYDRAULIC TEST_Schedule_Exp/Actual,BOILER LIGHT UP_Schedule,BOILER LIGHT UP_Schedule_Exp/Actual,ALKALI BOIL OUT COMPLETION_Schedule,ALKALI BOIL OUT COMPLETION_Schedule_Exp/Actual,EDTA START_Schedule,EDTA START_Schedule_Exp/Actual,EDTA COMPLETION_Schedule,EDTA COMPLETION_Schedule_Exp/Actual,STEAM BLOWING START_Schedule,STEAM BLOWING START_Schedule_Exp/Actual,STEAM BLOWING COMPLETION_Schedule,STEAM BLOWING COMPLETION_Schedule_Exp/Actual,NORMALIZATION_Schedule,NORMALIZATION_Schedule_Exp/Actual,CONDENSER ERECTION START_Schedule,CONDENSER ERECTION START_Schedule_Exp/Actual,TURBINE ERECTION START_Schedule,TURBINE ERECTION START_Schedule_Exp/Actual,TG BOX UP_Schedule,TG BOX UP_Schedule_Exp/Actual,OIL FLUSHING START_Schedule,OIL FLUSHING START_Schedule_Exp/Actual,OIL FLUSHING COMPLETION_Schedule,OIL FLUSHING COMPLETION_Schedule_Exp/Actual,BARRING GEAR_Schedule,BARRING GEAR_Schedule_Exp/Actual,ROLLING_Schedule,ROLLING_Schedule_Exp/Actual,SYNCHRONISATION_Schedule,SYNCHRONISATION_Schedule_Exp/Actual,FULL LOAD_Schedule,FULL LOAD_Schedule_Exp/Actual,CAPACITY ADDITION_Schedule,CAPACITY ADDITION_Schedule_Exp/Actual,COMMERCIAL OPERATION DECLARATION_Schedule,COMMERCIAL OPERATION DECLARATION_Schedule_Exp/Actual,TRIAL OPERATION COMPLETION_Schedule,TRIAL OPERATION COMPLETION_Schedule_Exp/Actual,HAND OVER_Schedule,HAND OVER_Schedule_Exp/Actual
11,BAKRESWAR - MP UNIT-4 (2 X 210 MW),STATE,210,30-11-2004,WEST BENGAL,BTG,PSER,WBPDCL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-06-2005,24-05-2005,30-10-2005,23-03-2006,N.A.,N.A.,30-09-2006,13-12-2006,31-12-2006,01-06-2007,08-01-2007,08-07-2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-01-2007,06-12-2007,N.A.,N.A.,30-06-2005,24-05-2005,N.A.,N.A.,15-12-2006,30-10-2006,N.A.,N.A.,30-12-2006,12-10-2007,15-01-2007,07-12-2007,N.A.,N.A.,30-03-2007,23-12-2007,N.A.,N.A.,N.A.,N.A.,29-07-2007,31-10-2008,29-07-2007,31-10-2008,29-07-2007,31-10-2008
12,RAYALASEEMA UNIT-4 (210 MW ) ,,210,31-03-2004,ANDHRA PRADESH,BTG,PSSR,APGENCO,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,31-05-2005,18-02-2005,30-09-2005,10-09-2005,N.A.,N.A.,31-05-2006,17-08-2006,30-09-2006,17-07-2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-11-2006,18-09-2007,N.A.,N.A.,30-11-2005,10-05-2006,N.A.,N.A.,31-08-2006,10-07-2007,N.A.,N.A.,30-09-2006,04-09-2007,30-10-2006,08-11-2007,N.A.,N.A.,31-12-2006,20-11-2007,N.A.,N.A.,N.A.,N.A.,30-03-2007,10-03-2008,30-03-2007,10-03-2008,N.A.,N.A.
13,BELLARY TPS UNIT-1 (1X500 MW),STATE,500,29-12-2003,,,PSSR,KPCL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,28-11-2004,16-09-2004,28-04-2005,27-02-2005,N.A.,N.A.,28-03-2006,11-05-2006,28-09-2006,03-01-2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-02-2007,22-10-2007,N.A.,N.A.,28-07-2005,17-11-2005,N.A.,N.A.,28-06-2006,21-11-2006,N.A.,N.A.,28-09-2006,30-08-2007,28-11-2006,28-11-2007,N.A.,N.A.,28-12-2006,03-12-2007,N.A.,N.A.,N.A.,N.A.,28-03-2007,30-03-2009,28-03-2007,30-03-2009,N.A.,N.A.
14,LEHRA MOHABBAT UNIT-3(250 MW),,250,31-03-2004,PUNJAB,EPC,PSNR,PSEB,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,14-03-2005,15-04-2005,12-07-2005,24-08-2005,N.A.,N.A.,15-05-2006,30-08-2006,19-08-2006,31-03-2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,20-10-2006,16-12-2007,N.A.,N.A.,23-08-2005,30-03-2006,N.A.,N.A.,28-07-2006,25-01-2007,N.A.,N.A.,27-08-2006,25-08-2007,25-09-2006,08-12-2007,N.A.,N.A.,25-10-2006,03-01-2008,N.A.,N.A.,N.A.,N.A.,30-12-2006,16-10-2008,30-12-2006,16-10-2008,N.A.,N.A.
15,KAHALGAON UNIT-6 (500),,600,31-07-2003,BIHAR,BTG,PSER,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-10-2004,22-01-2005,31-03-2005,03-07-2005,N.A.,N.A.,02-03-2006,31-07-2006,31-08-2006,31-05-2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,31-10-2006,05-01-2008,N.A.,N.A.,31-07-2005,15-05-2006,N.A.,N.A.,31-08-2006,30-04-2007,N.A.,N.A.,30-09-2006,19-06-2007,31-10-2006,08-01-2008,N.A.,N.A.,31-12-2006,16-03-2008,N.A.,N.A.,N.A.,N.A.,18-04-2007,30-12-2008,18-04-2007,30-12-2008,N.A.,N.A.
16,RAIGARH UNIT-3 (4X250MW) ,PRIVATE,250,01-11-2004,CHHATTISGARH,BTG,PSWR,"JINDAL POWER LIMITED , NEW DELHI",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,31-10-2005,17-11-2005,01-04-2006,30-04-2006,N.A.,N.A.,13-12-2006,25-05-2007,03-05-2007,15-12-2007,13-05-2007,24-12-2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,12-06-2007,03-01-2008,N.A.,N.A.,31-10-2005,14-05-2006,N.A.,N.A.,15-04-2007,15-04-2007,N.A.,N.A.,24-05-2007,24-05-2007,24-06-2007,24-06-2007,N.A.,N.A.,14-07-2007,10-02-2008,N.A.,N.A.,N.A.,N.A.,15-10-2007,16-04-2008,15-10-2007,25-05-2008,N.A.,N.A.
17,RAIGARH UNIT-2 (4X250MW) ,PRIVATE,250,15-10-2004,CHHATTISGARH,BTG,PSWR,"JINDAL POWER LIMITED , NEW DELHI",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,16-10-2005,28-10-2005,17-03-2006,20-03-2006,N.A.,N.A.,28-11-2006,17-06-2007,18-04-2007,28-01-2008,28-04-2007,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,28-05-2007,20-02-2008,N.A.,N.A.,16-10-2005,11-07-2006,N.A.,N.A.,31-03-2007,07-12-2007,N.A.,N.A.,09-05-2007,11-01-2008,09-06-2007,28-01-2008,N.A.,N.A.,29-06-2007,06-03-2008,N.A.,N.A.,N.A.,N.A.,29-09-2007,15-06-2008,29-09-2007,15-07-2008,N.A.,N.A.
18,BHILAI TPS-1(250 MW),,250,31-03-2005,CHATTISGARH,EPC,PSWR,NSPCL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-11-2005,15-02-2006,30-04-2006,30-06-2006,N.A.,N.A.,15-12-2006,30-04-2007,16-04-2007,30-12-2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-06-2007,09-03-2008,N.A.,N.A.,30-06-2006,16-01-2007,N.A.,N.A.,31-03-2007,07-03-2008,N.A.,N.A.,31-05-2007,16-03-2008,25-06-2007,10-04-2008,N.A.,N.A.,15-07-2007,20-04-2008,N.A.,N.A.,N.A.,N.A.,15-10-2007,30-03-2009,15-10-2007,15-03-2009,N.A.,N.A.
19,RAIGARH UNIT-4 (4X250MW) ,PRIVATE,250,01-11-2004,CHHATTISGARH,BTG,PSWR,"JINDAL POWER LIMITED , NEW DELHI",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,31-01-2006,15-01-2006,01-07-2006,10-08-2006,N.A.,N.A.,13-03-2007,15-10-2007,03-08-2007,01-05-2008,13-08-2007,13-08-2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,12-09-2007,28-05-2008,N.A.,N.A.,31-01-2006,17-08-2006,N.A.,N.A.,15-07-2007,24-01-2008,N.A.,N.A.,24-08-2007,28-03-2008,24-09-2007,30-03-2008,N.A.,N.A.,14-10-2007,17-06-2008,N.A.,N.A.,N.A.,N.A.,15-01-2008,03-09-2008,15-01-2008,30-12-2008,N.A.,N.A.
20,AMARKANTAK TPS EXT. UNIT-5 (1X 210 MW) ,STATE,210,30-09-2004,MADHYA PRADESH,EPC,PSSR,MPPGCL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-06-2005,28-10-2005,31-10-2005,30-03-2006,N.A.,N.A.,30-07-2006,03-03-2007,30-12-2006,17-10-2007,30-12-2006,24-01-2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-01-2007,16-05-2008,N.A.,N.A.,30-06-2005,28-10-2005,N.A.,N.A.,30-12-2006,30-01-2008,N.A.,N.A.,30-01-2007,01-05-2008,13-02-2007,06-06-2008,N.A.,N.A.,28-02-2007,15-06-2008,N.A.,N.A.,N.A.,N.A.,30-06-2007,09-09-2009,30-06-2007,09-10-2009,N.A.,N.A.
